number,season,episode,airdate,title,tvmaze link
# Linea de comentario
47,3,12,26 Dec 91,"I Married Marge","https://www.tvmaze.com/episodes/5044/the-simpsons-3x12-i-married-marge"
48,3,13,09 Jan 92,"Radio Bart","https://www.tvmaze.com/episodes/5045/the-simpsons-3x13-radio-bart"
49,3,14,23 Jan 92,"Lisa the Greek","https://www.tvmaze.com/episodes/5046/the-simpsons-3x14-lisa-the-greek"
50,3,15,06 Feb 92,"Homer Alone","https://www.tvmaze.com/episodes/5047/the-simpsons-3x15-homer-alone"
51,3,16,13 Feb 92,"Bart the Lover","https://www.tvmaze.com/episodes/5048/the-simpsons-3x16-bart-the-lover"
52,3,17,20 Feb 92,"Homer at the Bat","https://www.tvmaze.com/episodes/5049/the-simpsons-3x17-homer-at-the-bat"
53,3,18,27 Feb 92,"Separate Vocations","https://www.tvmaze.com/episodes/5050/the-simpsons-3x18-separate-vocations"
54,3,19,12 Mar 92,"Dog of Death","https://www.tvmaze.com/episodes/5051/the-simpsons-3x19-dog-of-death"
55,3,20,26 Mar 92,"Colonel Homer","https://www.tvmaze.com/episodes/5052/the-simpsons-3x20-colonel-homer"
56,3,21,09 Apr 92,"Black Widower","https://www.tvmaze.com/episodes/5053/the-simpsons-3x21-black-widower"
57,3,22,23 Apr 92,"The Otto Show","https://www.tvmaze.com/episodes/5054/the-simpsons-3x22-the-otto-show"
58,3,23,07 May 92,"Bart's Friend Falls in Love","https://www.tvmaze.com/episodes/5055/the-simpsons-3x23-barts-friend-falls-in-love"
59,3,24,27 Aug 92,"Brother, Can You Spare Two Dimes?","https://www.tvmaze.com/episodes/5056/the-simpsons-3x24-brother-can-you-spare-two-dimes"
60,4,1,24 Sep 92,"Kamp Krusty","https://www.tvmaze.com/episodes/5057/the-simpsons-4x01-kamp-krusty"
61,4,2,01 Oct 92,"A Streetcar Named Marge","https://www.tvmaze.com/episodes/5058/the-simpsons-4x02-a-streetcar-named-marge"
62,4,3,08 Oct 92,"Homer the Heretic","https://www.tvmaze.com/episodes/5059/the-simpsons-4x03-homer-the-heretic"
63,4,4,15 Oct 92,"Lisa the Beauty Queen","https://www.tvmaze.com/episodes/5060/the-simpsons-4x04-lisa-the-beauty-queen"
64,4,5,29 Oct 92,"Treehouse of Horror III","https://www.tvmaze.com/episodes/5061/the-simpsons-4x05-treehouse-of-horror-iii"
65,4,6,03 Nov 92,"Itchy &amp; Scratchy: The Movie","https://www.tvmaze.com/episodes/5062/the-simpsons-4x06-itchy-amp-scratchy-the-movie"
66,4,7,05 Nov 92,"Marge Gets a Job","https://www.tvmaze.com/episodes/5063/the-simpsons-4x07-marge-gets-a-job"
67,4,8,12 Nov 92,"The New Kid on the Block","https://www.tvmaze.com/episodes/5064/the-simpsons-4x08-the-new-kid-on-the-block"
68,4,9,19 Nov 92,"Mr. Plow","https://www.tvmaze.com/episodes/5065/the-simpsons-4x09-mr-plow"
69,4,10,03 Dec 92,"Lisa's First Word","https://www.tvmaze.com/episodes/5066/the-simpsons-4x10-lisas-first-word"
70,4,11,17 Dec 92,"Homer's Triple Bypass","https://www.tvmaze.com/episodes/5067/the-simpsons-4x11-homers-triple-bypass"
71,4,12,14 Jan 93,"Marge vs. the Monorail","https://www.tvmaze.com/episodes/5068/the-simpsons-4x12-marge-vs-the-monorail"
72,4,13,21 Jan 93,"Selma's Choice","https://www.tvmaze.com/episodes/5069/the-simpsons-4x13-selmas-choice"
73,4,14,04 Feb 93,"Brother from the Same Planet","https://www.tvmaze.com/episodes/5070/the-simpsons-4x14-brother-from-the-same-planet"
74,4,15,11 Feb 93,"I Love Lisa","https://www.tvmaze.com/episodes/5071/the-simpsons-4x15-i-love-lisa"
75,4,16,18 Feb 93,"Duffless","https://www.tvmaze.com/episodes/5072/the-simpsons-4x16-duffless"
76,4,17,11 Mar 93,"Last Exit to Springfield","https://www.tvmaze.com/episodes/5073/the-simpsons-4x17-last-exit-to-springfield"
77,4,18,01 Apr 93,"So It's Come to This: A Simpsons Clip Show","https://www.tvmaze.com/episodes/5074/the-simpsons-4x18-so-its-come-to-this-a-simpsons-clip-show"
78,4,19,15 Apr 93,"The Front","https://www.tvmaze.com/episodes/5075/the-simpsons-4x19-the-front"
79,4,20,29 Apr 93,"Whacking Day","https://www.tvmaze.com/episodes/5076/the-simpsons-4x20-whacking-day"
80,4,21,06 May 93,"Marge in Chains","https://www.tvmaze.com/episodes/5077/the-simpsons-4x21-marge-in-chains"
